salary,job_url,job_enterprise,date,job_place,job_name
12000-24000/月,http://jobs.51job.com/shenzhen-nsq/79764627.html?s=0,深圳世联行地产顾问股份有限公司,11-08,深圳-南山区,数据挖掘工程师
10-20/月,http://jobs.51job.com/shenzhen-nsq/83109788.html?s=0,深圳前海华付通金融服务有限公司,11-08,深圳-南山区,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/beijing/82258734.html?s=0,时光网,11-08,北京,资深数据挖掘工程师
15000-25000/月,http://jobs.51job.com/beijing-hdq/81507861.html?s=0,脉讯在线（北京）信息技术有限公司,11-08,北京-海淀区,数据挖掘工程师
9000-20000/月,http://jobs.51job.com/beijing/76402877.html?s=0,北京卡车之家信息技术股份有限公司,11-08,北京,大数据挖掘工程师
20000-24999/月,http://jobs.51job.com/shanghai-cnq/76346753.html?s=0,上海易果电子商务有限公司,11-08,上海-长宁区,数据挖掘工程师
1500-1999/月,http://jobs.51job.com/wuhan-hsq/67994050.html?s=0,武汉安天信息技术有限责任公司,11-08,武汉-洪山区,数据挖掘实习生（产品方向）
6000-8000/月,http://jobs.51job.com/chengdu/80223314.html?s=0,成都康赛信息技术有限公司,11-08,成都,产品经理（数据挖掘方向）
18000-25000/月,http://jobs.51job.com/beijing-hdq/81508172.html?s=0,北京好租科技发展有限公司,11-08,北京-海淀区,数据产品经理（数据挖掘）
5000-12000/月,http://jobs.51job.com/changzhou/68749725.html?s=0,上海享推信息技术有限公司,11-08,常州,数据挖掘高级工程师
15000-19999/月,http://jobs.51job.com/beijing/81568758.html?s=0,药渡经纬信息科技（北京）有限公司,11-08,北京,数据挖掘工程师
4500-7000/月,http://jobs.51job.com/nanjing-yhtq/68068925.html?s=0,江苏欣网科技股份有限公司,11-08,南京-雨花台区,数据分析/大数据挖掘
3000-4499/月,http://jobs.51job.com/guangzhou-thq/83060055.html?s=0,广州机智云物联网科技有限公司,11-08,广州-天河区,数据挖掘（机器学习算法）
15000-30000/月,http://jobs.51job.com/beijing-hdq/81456623.html?s=0,北京中交兴路信息科技有限公司,11-08,北京-海淀区,高级数据挖掘工程师-北京-00138
8000-12000/月,http://jobs.51job.com/chongqing/77526075.html?s=0,重庆同远能源技术有限公司,11-08,重庆,大数据挖掘工程师/大数据算法工程师
10000-20000/月,http://jobs.51job.com/shenzhen-nsq/69683367.html?s=0,深圳市随手科技有限公司,11-08,深圳-南山区,数据挖掘工程师
200元/天,http://jobs.51job.com/shanghai/81551118.html?s=0,上海触宝信息技术有限公司,11-08,上海,数据挖掘/机器学习/NLP
6000-7999/月,http://jobs.51job.com/nanjing/82731683.html?s=0,南京瑞玥科技有限公司,11-08,南京,数据挖掘工程师
4000-6000/月,http://jobs.51job.com/chengdu/79751745.html?s=0,四川效率源信息安全技术股份有限公司,11-08,成都,数据挖掘工程师
60000-100000/年,http://jobs.51job.com/guangzhou/78605591.html?s=0,广州市云润大数据服务有限公司,11-08,广州,数据挖掘工程师(实习)
8000-12000/月,http://jobs.51job.com/beijing/76209439.html?s=0,北京万方数据股份有限公司,11-08,北京,数据挖掘与算法工程师
10000-14999/月,http://jobs.51job.com/shanghai/77261957.html?s=0,上海国泰广告有限公司,11-08,上海,python数据挖掘研究员
10000-30000/月,http://jobs.51job.com/shanghai-xhq/58459718.html?s=0,返利网,11-08,上海-徐汇区,数据挖掘高级工程师
20000-24999/月,http://jobs.51job.com/shenzhen-nsq/76761501.html?s=0,标普医学信息研究中心,11-08,深圳-南山区,资深大数据挖掘分析师
8000-15000/月,http://jobs.51job.com/shanghai/72468866.html?s=0,上海趣致网络科技有限公司,11-08,上海,数据分析/数据挖掘工程师
4500-5999/月,http://jobs.51job.com/chengdu/68773752.html?s=0,北京卡拉卡尔科技股份有限公司成都分公司,11-08,成都,数据挖掘工程师
